openess,conscientiousness,extraversion,agreeableness,emotional_range
0.6231831471475212,0.947742639398963,0.5036618004006078,0.707747069598466,0.8965016495604811
0.6231831471475212,0.947742639398963,0.5036618004006078,0.707747069598466,0.8965016495604811
0.4332013849603048,0.9831610364710723,0.8639509946070713,0.9846773200794062,0.953556455150058
0.4816567744136392,0.7020139041365235,0.11982123861556315,0.4151801795882786,0.5472388588481472
0.7154763055096647,0.8423498826930649,0.16915291069648986,0.14460012464256805,0.7707766498743329
0.906776004247054,0.9480275123102544,0.6739374694419629,0.7844803566008036,0.8861218316324786
0.7145493678087311,0.9259565394984832,0.21667614619830827,0.38958144556454066,0.906920218650231
0.9273835620976405,0.49897826936579903,0.16095745940042888,0.020763283970904156,0.8259653508848985
0.9716023890198056,0.6195840313734515,0.3677363091016356,0.07457657783294591,0.8787275515541064
0.8730938890639839,0.36748305332771714,0.3066291813299058,0.06452649415927814,0.34592509937981275
0.81922498077702,0.9978650705074605,0.9871245639918677,0.999997660160673,0.9825117273310784
0.6456953146883554,0.8545604088538974,0.2587998888980665,0.5445275076157218,0.8412827245682675
0.5540633199500865,0.4852046473081334,0.019436110944408114,0.10149745404675431,0.5417056497560875
0.8219264360788819,0.9357379052646585,0.31213040820917426,0.2677092792977025,0.9492692436605334
0.4499958229393263,0.9551475607530455,0.23649658331814277,0.8239055683322234,0.8762985949819955
0.38818793399378104,0.9492749648972099,0.45198390826483087,0.8965168695062122,0.8310778355986954
0.9859026396943714,0.5890937537210198,0.33086628257363676,0.013955458184003622,0.9103235868102465
0.45026451793986505,0.9687880809828968,0.6502453617460855,0.7678165931764347,0.8096274000992163
0.5902710234217623,0.89104657361662,0.43988171382580277,0.49311666042328905,0.8944100076647464
0.39522490815102074,0.7095924559167527,0.3672641001742646,0.6521186750326884,0.6375201985870671
0.587159027470486,0.8990755879780913,0.53880725133265,0.9346669253818165,0.5679938168686216
0.8678071421534118,0.737341648322644,0.15973712767281517,0.18812920398142158,0.8389374581458248
0.5710062478277563,0.8369945280295314,0.17827941538856384,0.6658641137398774,0.7006680245205769
0.5007480981443923,0.7397672355474998,0.02759481769116251,0.023799697233578887,0.6506723438300189
0.5146549197992509,0.9128220608654551,0.7252420469969889,0.6261731967110236,0.8652524043239869
0.3022233467662304,0.5461006778379041,0.3879559644860218,0.32718312169092256,0.07607543869321459
0.786596403613079,0.830639625326528,0.0386370148625812,0.4898560206898806,0.43629179019961367
0.6877476625052621,0.8461095342605761,0.17048625502798775,0.2809241883259851,0.8275194985949854
0.13299282404964247,0.6069316545099932,0.17508247570807267,0.24350947231220232,0.6366638923927163
0.288970402688023,0.7319710778929842,0.576871699928887,0.9841212866610896,0.3199984567502394
0.7115553885785769,0.48604192717583977,0.17692641080108717,0.0961951494557291,0.5675599602561824
0.7731921022234822,0.864242342768041,0.33586314383288035,0.3635028147864495,0.7606333837912174
0.19125294821607153,0.9132661017514361,0.5109953957444585,0.9922923515481343,0.7720380147909823
0.48842530034541504,0.6664466305666096,0.13482749162845653,0.8186364207744812,0.27488308730640887
0.8910549293103568,0.9726570298634167,0.7041379030609555,0.8973611691314786,0.8463206880617968
0.6835745864226397,0.8847985691834617,0.5263242834128451,0.7782087263258726,0.8680055249960611
0.5428396857832123,0.9569347194932187,0.7383154285802516,0.9703873685664659,0.7872288704231919
0.7550925207767689,0.29980425795898735,0.41583870354242586,0.48023111575434385,0.5721494768141893
0.5960830327798786,0.8300999589171703,0.498081267632974,0.6891948193320525,0.7666909731581466
0.3275550109174596,0.7081714567758136,0.05626404041712302,0.49305522181131906,0.4921064378679505
0.007656101778993285,0.47909035067184924,0.0038769381712316364,0.05335349860698585,0.08218013093794635
0.5494644918315161,0.5351760677268933,0.01919616711729394,0.09977892254825116,0.5611879176036665
0.9296115502444238,0.9580819557634538,0.48508477882395684,0.611587829475564,0.7980782747223043
0.9473476297429704,0.8807995358652345,0.7063678127567944,0.08633879735251282,0.9185017286051204
0.5745673457733128,0.9064234260197104,0.5688556900485133,0.19513161735390017,0.961757019349467
